feature	c__Bacilli_A Class	c__Chloroplast Class	c__Clostridia_258483 Class	c__Verrucomicrobiae Class	d__Bacteria Kingdom	f__Acutalibacteraceae Family	f__Amphibacillaceae Family	f__Anaerovoracaceae Family	f__Bacillaceae_C_302577 Family	f__Bacteroidaceae Family	f__Borkfalkiaceae Family	f__CAG-508 Family	f__Cellulosilyticaceae Family	f__Christensenellaceae Family	f__Clostridiaceae_222000 Family	f__Coprobacillaceae Family	f__Dehalobacteriaceae Family	f__Eggerthellaceae Family	f__Enterococcaceae Family	f__Lachnospiraceae Family	f__Lactobacillaceae Family	f__Mitochondria Family	f__Muribaculaceae Family	f__NBRC-103111 Family	f__Oscillospiraceae_88309 Family	f__Paenibacillaceae_367444 Family	f__Peptostreptococcaceae_256921 Family	f__Streptosporangiaceae Family	f__Tissierellaceae Family	f__UBA1242 Family	f__UBA660 Family	g__1XD8-76	g__Acetatifactor	g__Acidovorax_F_589733	g__Acinetobacter	g__Acutalibacter	g__Adlercreutzia_A_404199	g__Adlercreutzia_A_404257	g__Adlercreutzia_A_404260	g__Agrobacterium	g__Akkermansia	g__Alistipes_A_871400	g__Alkalicoccobacillus	g__Alkaliphilus_B	g__Anaerocolumna	g__Anaerosalibacter	g__Anaerosporobacter	g__Anaerotruncus	g__Aneurinibacillus_B_362085	g__Angelakisella	g__Arthrobacter_E_386002	g__Atopostipes	g__Avispirillum	g__Bacillus_A	g__Bacillus_J_295379	g__Bacillus_O_301684	g__Bacillus_P_294101	g__Bacteroides_H_857956	g__Bifidobacterium_388775	g__Blautia_A_141780	g__Borkfalkia	g__Brachybacterium	g__Brevibacillus_D_362672	g__Brevibacillus_D_362705	g__Brevibacterium	g__Brotaphodocola	g__Brucella_498865	g__Burkholderia	g__Butyribacter	g__C-19	g__CABMKH01	g__CAG-269	g__CAG-314	g__CAG-475	g__CAG-873	g__COE1	g__Caldibacillus_B	g__Cellulosilyticum	g__Cellulosimicrobium	g__Cerasibacillus	g__Choladousia	g__Clavibacter	g__Clostridioides_A	g__Clostridium_AG_200053	g__Clostridium_AQ	g__Clostridium_B	g__Clostridium_F	g__Clostridium_G	g__Clostridium_H_221916	g__Clostridium_J	g__Clostridium_T	g__Comamonas_F_589250	g__Coprocola	g__Coprosoma	g__Corynebacterium	g__Curtobacterium	g__Dorea_D_143701	g__Dubosiella	g__Duncaniella	g__Dysosmobacter	g__Emergencia	g__Enterenecus	g__Enterocloster	g__Enterococcus_A	g__Enterococcus_B	g__Enterococcus_D	g__Enterococcus_F_359103	g__Enterococcus_H_360604	g__Enterorhabdus	g__Eubacterium_F	g__Eubacterium_G_180878	g__Eubacterium_R	g__Eubacterium_S	g__Evtepia	g__Faecalibaculum	g__Faecimonas	g__Fimenecus	g__Gallicola	g__Glutamicibacter	g__Glycomyces	g__Granulimonas	g__Haemophilus_D_735815	g__Hathewaya	g__Hominilimicola	g__Hominisplanchenecus_A	g__Ileibacterium	g__JAGBWK01	g__JC017	g__Jeotgalibaca	g__Kineothrix	g__Klebsiella_724518	g__Kroppenstedtia_A	g__Kurthia	g__Lachnoclostridium_A_184689	g__Lachnoclostridium_B	g__Lachnospira	g__Lachnotalea	g__Lacrimispora	g__Lacticaseibacillus	g__Lactiplantibacillus	g__Lactobacillus	g__Lactococcus_A_346120	g__Laedolimicola	g__Latilactobacillus	g__Lawsonibacter	g__Lederbergia_A_302086	g__Lederbergia_A_302195	g__Lepagella	g__Levilactobacillus	g__Lientehia	g__Ligilactobacillus	g__Limivivens	g__Limosilactobacillus	g__Luteimonas_D	g__Lysinibacillus_304693	g__MD308	g__Mammaliicoccus_319276	g__Mammaliicoccus_319278	g__Massilibacillus	g__Massilibacterium	g__Massiliimalia	g__Massilioclostridium	g__Merdibacter	g__Mesorhizobium_I	g__Metaruminococcus_A	g__Methylobacterium	g__Microbacterium_A_383321	g__Muribaculum	g__NK4A144	g__Nesterenkonia	g__Novosphingobium	g__Oceanobacillus_287537	g__Ochrobactrum_A_498864	g__Ochrobactrum_A_498913	g__Ochrobactrum_A_499075	g__Otoolea_134252	g__Otoolea_134526	g__Paenibacillus_A	g__Paenibacillus_J_366884	g__Paenibacillus_L	g__Paenibacillus_S	g__Pandoraea	g__Pantoea_680069	g__Paraclostridium	g__Paramuribaculum	g__Parasutterella_564865	g__Parvibacter	g__Pelethenecus	g__Peptoniphilus_B_226807	g__Petralouisia	g__Planifilum	g__Plantibacter	g__Porcincola	g__Pradoshia	g__Pseudobacillus	g__Pseudobutyricicoccus	g__Pseudofrankia	g__Pseudomonas_E_647464	g__Pueribacillus	g__Quadrisphaera	g__Rathayibacter	g__Rhizobium_C_500208	g__Rhizobium_C_501058	g__Robertmurraya_297834	g__Robinsoniella	g__Romboutsia_B	g__Romboutsia_C	g__Romboutsia_D_247318	g__Romboutsia_E	g__Roseburia_B	g__Rudaeicoccus	g__Ruminiclostridium_D	g__Ruminiclostridium_E	g__Ruminococcus_B	g__Rummeliibacillus	g__Saccharibacillus	g__Sarcina_200052	g__Schaedlerella	g__Sedimentibacter	g__Shouchella	g__Siminovitchia	g__Sinibacillus	g__Solibaculum	g__Sphingobacterium	g__Sphingomonas_L_486704	g__Sporofaciens	g__Sporosarcina	g__Staphylococcus	g__Stenotrophomonas_A_615274	g__Streptococcus	g__Streptomyces_400150	g__Suilimivivens	g__Tardiphaga	g__Tepidimicrobium	g__Terrisporobacter	g__Thermoactinomyces_A	g__Thomasclavelia	g__Tissierella_A	g__Tissierella_B_223997	g__Turicibacter	g__UBA2730	g__UBA3282	g__UBA5905	g__UBA7173	g__UBA737	g__UBA9414	g__UBA946	g__UMGS1994	g__Ureibacillus	g__Vagococcus_B	g__Ventrisoma	g__Virgibacillus_B_287557	g__Virgibacillus_I	g__WRAF01	g__Weissella	g__Xanthomonas_A_614442	o__Acetivibrionales Order	o__Bacillales_D Order	o__Bacteroidales Order	o__Christensenellales Order	o__Lachnospirales Order
Villapol_527_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00407963446475196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.129895561357702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75048955613577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0293733681462141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0182767624020888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.022845953002611	NA	NA	NA	0.00815926892950392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0060378590078329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0308420365535248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_528_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0790540540540541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.795495495495495	0.000675675675675676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0172972972972973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0205405405405405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0607207207207207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00954954954954955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0166666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_529_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.07991014788161e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.882526674847647	0.00339025354104703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00628132864660247	NA	NA	NA	NA	0.000998356870983174	NA	NA	NA	NA	NA	NA	0.0051581771667464	0.0378543646914453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000145593710351713	NA	NA	0.0251253145864099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000103995507394081	4.15982029576322e-05	0.0289107510555544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000187191913309345	NA	NA	NA	NA	NA	0.00230870026414859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000956758668025541	NA	NA	NA	NA	0.00599014122589904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_533_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.173766765173903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.708570129574903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00136394635144351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00236417367583542	NA	NA	0.000318254148670152	0.0905205728574676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0214139577176631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000363719027051603	NA	NA	NA	NA	NA	NA	NA	NA	0.00131848147306206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_535_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0224267170455238	NA	NA	NA	NA	NA	NA	0.00578950575903468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00109695898592236	0.000365652995307453	NA	NA	0.087147297214943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.549454567615333	0.00195014930830642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000243768663538302	NA	NA	NA	NA	0.00304710829422878	NA	NA	NA	NA	NA	0.00999451520507039	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00414406728015114	NA	NA	NA	NA	NA	NA	0.26424523127552	0.00944603571210921	NA	0.000792248156499482	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00286428179657505	0.00280333963069047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00195014930830642	NA	NA	NA	NA	NA	NA	0.00316899262599793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0234627338655616	NA	NA	NA	0.00109695898592236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00140166981534524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00310805046011335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_538_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000740033420864168	NA	NA	0.0711625686321318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.710002387204583	0.000190976366674624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00186201957507758	NA	NA	0.0083552160420148	0.0286703270470279	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00231558844592982	NA	NA	NA	NA	NA	NA	0.0041776080210074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.113654810217236	NA	NA	0.00935784196705658	NA	NA	0.0200286464550012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.028527094772022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00095488183337312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_539_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.02240828378433e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000465153905270396	NA	NA	0.0768312907009667	NA	NA	NA	0.00103142822473001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.654734457792339	0.0018201674554059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000950531893378635	NA	NA	NA	NA	NA	NA	0.00823120171500222	0.0913117340128625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00608744893419083	NA	NA	0.00214375278081139	NA	NA	NA	0.000343809408243336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.109816769809489	NA	NA	0.00012134449702706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0077053755612183	NA	0.0313473283986571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00171904704121668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00531893378635279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_540_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000918357975939021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000826522178345119	NA	0.0791624575259436	0.000459178987969511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.594453117825328	0.00128570116631463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0088162365690146	NA	NA	NA	NA	NA	0.000642850583157315	NA	0.000551014785563413	NA	NA	NA	NA	NA	NA	0.00156120855909634	0.00275507392781706	NA	NA	NA	NA	NA	NA	0.197906143814859	0.0264487097070438	NA	NA	NA	NA	NA	NA	NA	NA	0.00505096886766462	0.000826522178345119	NA	0.00211222334465975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0426118100835706	NA	NA	0.00817338598585729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.18357975939021e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000367343190375608	NA	NA	NA	NA	NA	NA	NA	0.021581412434567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000183671595187804	NA	NA	0.000275507392781706	NA	NA	0.00293874552300487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Villapol_541_3DPI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0015072187847057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0619546247818499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.719181342217991	0.000396636522290973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00222116452482945	NA	NA	NA	NA	NA	0.000713945740123751	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00618752974773917	NA	NA	NA	NA	NA	NA	0.112010153894971	0.00682214818340473	NA	NA	NA	NA	NA	NA	NA	NA	0.0379977788354752	0.000713945740123751	NA	0.00134856417578931	0.000237981913374584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00349040139616056	NA	NA	0.000951927653498334	NA	NA	NA	NA	NA	NA	0.0014278914802475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00087260034904014	NA	0.00753609392352848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0172933523718864	NA	NA	NA	NA	NA	0.00491829287640806	NA	0.012216404886562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
